Connector,Pin,HSMC+ok,FPGA Pin,FPGA Pin Description,I/O Bank,LVDS Term RefDes,Power,Ground,I/O Power,FPGA I/O,LVDS I/O,LVDS I,LVDS O,FPGA Clk Out,FPGA Clk In,JTAG,Comments,Design Net,IO Standard,User Comment
J1,135,D50 / LVDS_TXn10,W1,L28n,2,,,,,true,true,,,,,,,4FCO-,LVDS,
J1,136,D51 / LVDS_RXn10,Y10,B20n,3,R62,,,,true,true,,,,,,,1D-C,LVDS,
J1,137,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,138,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,139,D52 / LVDS_TXp11,Y2,L29p,2,,,,,true,true,,,,,,,4DCO+,LVDS,
J1,140,D53 / LVDS_RXp11,U11,B19p,3,R63,,,,true,true,,,,,,,1D+D,LVDS,
J1,141,D54 / LVDS_TXn11,Y1,L29n,2,,,,,true,true,,,,,,,4DCO-,LVDS,
J1,142,D55 / LVDS_RXn11,V11,B19n,3,R63,,,,true,true,,,,,,,1D-D,LVDS,
J1,143,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,144,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,145,D56 / LVDS_TXp12,N7,L30p,2,,,,,true,true,,,,,,,,2.5 V,
J1,146,D57 / LVDS_RXp12,AA10,B21p,3,R64,,,,true,true,,,,,,,SCL,2.5 V,
J1,147,D58 / LVDS_TXn12,P7,L30n,2,,,,,true,true,,,,,,,APC_NULL,2.5 V,
J1,148,D59 / LVDS_RXn12,AB10,B21n,3,R64,,,,true,true,,,,,,,SDA,2.5 V,
J1,149,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,150,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,151,D60 / LVDS_TXp13,P6,L32p,2,,,,,true,true,,,,,,,APC_LE,2.5 V,
J1,152,D61 / LVDS_RXp13,P17,R30p,5,R65,,,,true,true,,,,,,,APC_RPHI1,2.5 V,
J1,153,D62 / LVDS_TXn13,R5,L32n,2,,,,,true,true,,,,,,,APC_SPHI2,2.5 V,
J1,154,D63 / LVDS_RXn13,R17,R30n,5,R65,,,,true,true,,,,,,,APC_RPHI2,2.5 V,
J1,155,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,156,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,157,D64 / LVDS_TXp14,U19,R34p,5,,,,,true,true,,,,,,,APC_SPHI1,2.5 V,
J1,158,D65 / LVDS_RXp14,T19,R31p,5,R66,,,,true,true,,,,,,,APC_RBO_A4,2.5 V,
J1,159,D66 / LVDS_TXn14,U20,R34n,5,,,,,true,true,,,,,,,APC_SBI,2.5 V,
J1,160,D67 / LVDS_RXn14,T20,R31n,5,R66,,,,true,true,,,,,,,APC_RBO_B4,2.5 V,
J1,161,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,162,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,163,D68 / LVDS_TXp15,Y21,R35p,5,,,,,true,true,,,,,,,APC_SEB,2.5 V,
J1,164,D69 / LVDS_RXp15,V21,R29p,5,R67,,,,true,true,,,,,,,APC_RBO_B3,2.5 V,
J1,165,D70 / LVDS_TXn15,Y22,R35n,5,,,,,true,true,,,,,,,APC_CAL,2.5 V,
J1,166,D71 / LVDS_RXn15,V22,R29n,5,R67,,,,true,true,,,,,,,APC_RBO_B2,2.5 V,
J1,167,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,168,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,169,D72 / LVDS_TXp16,W21,R32p,5,,,,,true,true,,,,,,,APC_RBO_A1,2.5 V,
J1,170,D73 / LVDS_RXp16,U21,R27p,5,R68,,,,true,true,,,,,,,APC_RBO_A2,2.5 V,
J1,171,D74 / LVDS_TXn16,W22,R32n,5,,,,,true,true,,,,,,,APC_RBO_B1,2.5 V,
J1,172,D75 / LVDS_RXn16,U22,R27n,5,R68,,,,true,true,,,,,,,APC_RBO_A3,2.5 V,
J1,173,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,174,+12VDD,,,,,+12VDD,,,,,,,,,,,,,
J1,175,D76 / CLKOUT2p,T5,L33p,2,,,,,true,true,,,,,,,,,
J1,176,D77 / CLKIN2p,N5,L22n,2,R70,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R112 to R110 for FPGA pin T2 (CLK2, DIFFCLK_1p) in Bank 2.",,,
J1,177,D78 / CLKOUT2n,R6,L33n,2,,,,,true,true,,,,,,,,,
J1,178,D79 / CLKIN2n,P5,L26p,2,R70,,,,true,,true,,,,,"See UM for CLKIN jumper selection. Move R114 to R116 for FPGA pin T1 (CLK3, DIFFCLK_1n) in Bank 2. ",,,
J1,179,+3.3VDD,,,,,+3.3VDD,,,,,,,,,,,3V3dig,,
J1,180,PRSNTn,,,,,,,,,,,,,,,Present Detect,GND,,
